survey version standard standard_catagory shift SDSS_G SDSS_R SDSS_I SDSS_Z SDSS_g SDSS_r SDSS_i SDSS_z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 0 -9.000 -9.159 -9.346 -9.449 -9.000 -9.159 -9.346 -9.449
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 0 -10.152 -9.635 -9.474 -9.394 -10.152 -9.635 -9.474 -9.394
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 0 -11.467 -10.008 -8.831 -8.214 -11.467 -10.008 -8.831 -8.214
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 0 -9.942 -9.667 -9.582 -9.578 -9.942 -9.667 -9.582 -9.578
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 0 -9.259 -8.831 -8.709 -8.653 -9.259 -8.831 -8.709 -8.653
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 0 -2.886 -1.676 -1.285 -1.035 -2.886 -1.676 -1.285 -1.035
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 0 -9.635 -9.491 -9.512 -9.556 -9.635 -9.491 -9.512 -9.556
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 0 -6.753 -5.413 -4.857 -4.529 -6.753 -5.413 -4.857 -4.529
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 0 -6.100 -5.342 -5.117 -4.999 -6.100 -5.342 -5.117 -4.999
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 0 -8.407 -8.033 -7.992 -8.019 -8.407 -8.033 -7.992 -8.019
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 0 -10.287 -10.408 -10.530 -10.589 -10.287 -10.408 -10.530 -10.589
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 0 -4.478 -4.089 -4.000 -4.001 -4.478 -4.089 -4.000 -4.001
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 0 -4.944 -4.315 -4.135 -4.066 -4.944 -4.315 -4.135 -4.066
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 0 -10.884 -10.580 -10.504 -10.506 -10.884 -10.580 -10.504 -10.506
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 0 -5.264 -4.550 -4.360 -4.273 -5.264 -4.550 -4.360 -4.273
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 0 -5.875 -4.777 -4.401 -4.188 -5.875 -4.777 -4.401 -4.188
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 0 -4.622 -3.978 -3.814 -3.760 -4.622 -3.978 -3.814 -3.760
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 0 -2.883 -1.617 -1.144 -0.869 -2.883 -1.617 -1.144 -0.869
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 0 -10.196 -9.983 -9.949 -9.964 -10.196 -9.983 -9.949 -9.964
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 0 -7.878 -7.435 -7.287 -7.227 -7.878 -7.435 -7.287 -7.227
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 0 -5.073 -5.413 -5.687 -5.910 -5.073 -5.413 -5.687 -5.910
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 0 -8.351 -7.834 -7.674 -7.604 -8.351 -7.834 -7.674 -7.604
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 0 -3.098 -3.363 -3.576 -3.676 -3.098 -3.363 -3.576 -3.676
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 0 -5.045 -4.422 -4.242 -4.182 -5.045 -4.422 -4.242 -4.182
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 0 -5.451 -4.747 -4.546 -4.457 -5.451 -4.747 -4.546 -4.457
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 0 -11.539 -11.091 -10.953 -10.890 -11.539 -11.091 -10.953 -10.890
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 0 -9.381 -8.896 -8.709 -8.614 -9.381 -8.896 -8.709 -8.614
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 0 -8.731 -8.346 -8.237 -8.206 -8.731 -8.346 -8.237 -8.206
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 0 -10.438 -10.121 -10.047 -10.050 -10.438 -10.121 -10.047 -10.050
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 0 -7.752 -6.929 -6.614 -6.437 -7.752 -6.929 -6.614 -6.437
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 0 -8.348 -7.835 -7.637 -7.546 -8.348 -7.835 -7.637 -7.546
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 0 -6.064 -6.296 -6.501 -6.659 -6.064 -6.296 -6.501 -6.659
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 0 -6.500 -5.965 -5.842 -5.801 -6.500 -5.965 -5.842 -5.801
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 0 -9.973 -9.728 -9.686 -9.695 -9.973 -9.728 -9.686 -9.695
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 0 -4.625 -4.220 -4.140 -4.145 -4.625 -4.220 -4.140 -4.145
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 0 -10.673 -10.334 -10.222 -10.202 -10.673 -10.334 -10.222 -10.202
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 0 -10.214 -9.813 -9.715 -9.689 -10.214 -9.813 -9.715 -9.689
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 0 -5.399 -5.585 -5.821 -5.983 -5.399 -5.585 -5.821 -5.983
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 0 -6.665 -6.282 -6.198 -6.204 -6.665 -6.282 -6.198 -6.204
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 0 -8.137 -7.501 -7.260 -7.132 -8.137 -7.501 -7.260 -7.132
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 0 -12.925 -11.364 -10.585 -10.127 -12.925 -11.364 -10.585 -10.127
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 0 -7.691 -6.312 -5.802 -5.470 -7.691 -6.312 -5.802 -5.470
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 0 -5.798 -4.336 -3.398 -2.894 -5.798 -4.336 -3.398 -2.894
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 0 -3.261 -2.660 -2.512 -2.464 -3.261 -2.660 -2.512 -2.464
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 0 -3.716 -2.898 -2.659 -2.522 -3.716 -2.898 -2.659 -2.522
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 0 -6.125 -6.329 -6.519 -6.641 -6.125 -6.329 -6.519 -6.641
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 0 -8.513 -8.107 -7.991 -7.969 -8.513 -8.107 -7.991 -7.969
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 0 -8.948 -8.427 -8.250 -8.181 -8.948 -8.427 -8.250 -8.181
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 0 -5.810 -4.925 -4.665 -4.513 -5.810 -4.925 -4.665 -4.513
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 0 -4.495 -4.596 -4.757 -4.829 -4.495 -4.596 -4.757 -4.829
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 0 -8.197 -7.290 -6.995 -6.818 -8.197 -7.290 -6.995 -6.818
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 0 -9.547 -7.779 -7.020 -6.548 -9.547 -7.779 -7.020 -6.548
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 0 -7.624 -7.312 -7.234 -7.248 -7.624 -7.312 -7.234 -7.248
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 0 -6.006 -5.660 -5.566 -5.543 -6.006 -5.660 -5.566 -5.543
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 0 -7.715 -7.037 -6.844 -6.763 -7.715 -7.037 -6.844 -6.763
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 0 -2.577 -3.025 -3.361 -3.646 -2.577 -3.025 -3.361 -3.646
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 0 -7.256 -7.442 -7.652 -7.813 -7.256 -7.442 -7.652 -7.813
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 0 -4.174 -2.865 -2.450 -2.188 -4.174 -2.865 -2.450 -2.188
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 0 -4.324 -4.680 -4.974 -5.225 -4.324 -4.680 -4.974 -5.225
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 0 -11.569 -11.212 -11.112 -11.088 -11.569 -11.212 -11.112 -11.088
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 0 -5.229 -5.178 -5.247 -5.331 -5.229 -5.178 -5.247 -5.331
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 0 -9.356 -8.703 -8.478 -8.368 -9.356 -8.703 -8.478 -8.368
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 0 -8.969 -8.193 -7.893 -7.720 -8.969 -8.193 -7.893 -7.720
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 0 -4.477 -3.983 -3.855 -3.810 -4.477 -3.983 -3.855 -3.810
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 0 -6.723 -5.467 -4.753 -4.314 -6.723 -5.467 -4.753 -4.314
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 0 -5.077 -4.338 -4.097 -3.964 -5.077 -4.338 -4.097 -3.964
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 0 -8.788 -7.746 -7.375 -7.166 -8.788 -7.746 -7.375 -7.166
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 0 -7.496 -6.086 -5.456 -5.122 -7.496 -6.086 -5.456 -5.122
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 0 -5.390 -5.128 -5.126 -5.184 -5.390 -5.128 -5.126 -5.184
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 0 -5.458 -5.656 -5.820 -5.912 -5.458 -5.656 -5.820 -5.912
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 0 -5.577 -5.787 -6.003 -6.190 -5.577 -5.787 -6.003 -6.190
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 0 -6.053 -6.311 -6.550 -6.731 -6.053 -6.311 -6.550 -6.731
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 0 -3.594 -2.218 -1.521 -1.133 -3.594 -2.218 -1.521 -1.133
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 0 -8.904 -8.118 -7.837 -7.678 -8.904 -8.118 -7.837 -7.678
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 0 -9.084 -8.512 -8.316 -8.219 -9.084 -8.512 -8.316 -8.219
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 0 -5.914 -6.226 -6.494 -6.712 -5.914 -6.226 -6.494 -6.712
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 0 -8.586 -8.783 -8.976 -9.083 -8.586 -8.783 -8.976 -9.083
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 0 -6.704 -5.924 -5.711 -5.582 -6.704 -5.924 -5.711 -5.582
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 0 -10.178 -9.763 -9.653 -9.634 -10.178 -9.763 -9.653 -9.634
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 0 -8.633 -8.884 -9.114 -9.271 -8.633 -8.884 -9.114 -9.271
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 0 -5.314 -5.638 -5.899 -6.088 -5.314 -5.638 -5.899 -6.088
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 0 -6.830 -5.496 -4.971 -4.680 -6.830 -5.496 -4.971 -4.680
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 0 -5.995 -5.392 -5.225 -5.160 -5.995 -5.392 -5.225 -5.160
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 0 -6.041 -4.958 -4.566 -4.321 -6.041 -4.958 -4.566 -4.321
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 0 -8.876 -7.992 -7.664 -7.479 -8.876 -7.992 -7.664 -7.479
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 0 -10.587 -10.124 -9.996 -9.960 -10.587 -10.124 -9.996 -9.960
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 0 -3.654 -4.041 -4.339 -4.568 -3.654 -4.041 -4.339 -4.568
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 0 -4.832 -3.513 -2.842 -2.470 -4.832 -3.513 -2.842 -2.470
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 0 -5.814 -5.836 -5.938 -6.049 -5.814 -5.836 -5.938 -6.049
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_bd+363168_v2.fits stis_ngsl_v2 0 -10.811 -6.543 -5.142 -4.289 -10.811 -6.543 -5.142 -4.289
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd197177_v2.fits stis_ngsl_v2 0 -6.161 -5.354 -5.112 -4.985 -6.161 -5.354 -5.112 -4.985
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd205202_v2.fits stis_ngsl_v2 0 -8.247 -8.021 -7.979 -7.994 -8.247 -8.021 -7.979 -7.994
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd159181_v2.fits stis_ngsl_v2 0 -3.237 -2.511 -2.286 -2.183 -3.237 -2.511 -2.286 -2.183
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd149382_v2.fits stis_ngsl_v2 0 -8.657 -9.165 -9.528 -9.854 -8.657 -9.165 -9.528 -9.854
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd048279_v2.fits stis_ngsl_v2 0 -7.921 -7.963 -8.079 -8.202 -7.921 -7.963 -8.079 -8.202
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd161770_v2.fits stis_ngsl_v2 0 -10.022 -9.466 -9.249 -9.141 -10.022 -9.466 -9.249 -9.141
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd017925_v2.fits stis_ngsl_v2 0 -6.479 -5.774 -5.592 -5.530 -6.479 -5.774 -5.592 -5.530
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g20-15_v2.fits stis_ngsl_v2 0 -10.899 -10.411 -10.242 -10.167 -10.899 -10.411 -10.242 -10.167
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g243-62_v2.fits stis_ngsl_v2 0 -11.981 -11.257 -10.994 -10.849 -11.981 -11.257 -10.994 -10.849
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd156283_v2.fits stis_ngsl_v2 0 -3.892 -2.701 -2.297 -2.045 -3.892 -2.701 -2.297 -2.045
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd166208_v2.fits stis_ngsl_v2 0 -5.426 -4.716 -4.503 -4.395 -5.426 -4.716 -4.503 -4.395
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd060319_v2.fits stis_ngsl_v2 0 -9.127 -8.780 -8.692 -8.677 -9.127 -8.780 -8.692 -8.677
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd052973_v2.fits stis_ngsl_v2 0 -4.251 -3.617 -3.451 -3.394 -4.251 -3.617 -3.451 -3.394
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd034797_v2.fits stis_ngsl_v2 0 -6.356 -6.676 -6.937 -7.144 -6.356 -6.676 -6.937 -7.144
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd175545_v2.fits stis_ngsl_v2 0 -8.000 -7.013 -6.698 -6.509 -8.000 -7.013 -6.698 -6.509
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095735_v2.fits stis_ngsl_v2 0 -8.328 -6.882 -5.942 -5.433 -8.328 -6.882 -5.942 -5.433
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd136726_v2.fits stis_ngsl_v2 0 -5.720 -4.552 -4.161 -3.932 -5.720 -4.552 -4.161 -3.932
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd040573_v2.fits stis_ngsl_v2 0 -7.343 -7.598 -7.817 -7.986 -7.343 -7.598 -7.817 -7.986
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd204041_v2.fits stis_ngsl_v2 0 -6.416 -6.492 -6.612 -6.716 -6.416 -6.492 -6.612 -6.716
